,Accuracy,Precision,Recall,AUC-ROC,Confusion Matrix
Logistic Regression,0.9032258064516129,0.9444444444444444,0.9444444444444444,0.9467592592592593,"[[ 5  3]
 [ 3 51]]"
Random Forest,0.8870967741935484,0.9272727272727272,0.9444444444444444,0.9502314814814814,"[[ 4  4]
 [ 3 51]]"
